scenario,model_key,n,p,s2,repeat,seed,precision_raw_local,recall_raw_local,f1_raw_local,r_miss_raw_local,n_selected_raw_local,precision_raw_global_max,recall_raw_global_max,f1_raw_global_max,r_miss_raw_global_max,n_selected_raw_global_max,precision_raw_global_se,recall_raw_global_se,f1_raw_global_se,r_miss_raw_global_se,n_selected_raw_global_se,precision_logml_local,recall_logml_local,f1_logml_local,r_miss_logml_local,n_selected_logml_local,precision_logml_global_max,recall_logml_global_max,f1_logml_global_max,r_miss_logml_global_max,n_selected_logml_global_max,precision_logml_global_se,recall_logml_global_se,f1_logml_global_se,r_miss_logml_global_se,n_selected_logml_global_se,status,error
cc1,continuous,500,50,1.0,0,3205166699,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,1,35825411,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,complete,
cc1,continuous,500,50,1.0,2,2570402026,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,3,3515536757,0.8,0.8,0.8000000000000002,1.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,4,2383792142,0.6666666666666666,0.8,0.7272727272727272,1.0,6.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,5,1571249157,0.625,1.0,0.7692307692307693,0.0,8.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,1.0,1.0,0.0,5.0,complete,
cc1,continuous,500,50,1.0,6,2606987846,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,complete,
cc1,continuous,500,50,1.0,7,1330605350,0.625,1.0,0.7692307692307693,0.0,8.0,1.0,0.8,0.888888888888889,1.0,4.0,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,8,2835370909,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,9,4139395655,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,10,4068377753,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,0.8,0.888888888888889,1.0,4.0,0.8,0.8,0.8000000000000002,1.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,11,2644699662,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,12,585688265,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,0.8,0.888888888888889,1.0,4.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,13,413141459,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,complete,
