scenario,model_key,n,p,s2,repeat,seed,precision_raw_local,recall_raw_local,f1_raw_local,r_miss_raw_local,n_selected_raw_local,precision_raw_global_max,recall_raw_global_max,f1_raw_global_max,r_miss_raw_global_max,n_selected_raw_global_max,precision_raw_global_se,recall_raw_global_se,f1_raw_global_se,r_miss_raw_global_se,n_selected_raw_global_se,precision_logml_local,recall_logml_local,f1_logml_local,r_miss_logml_local,n_selected_logml_local,precision_logml_global_max,recall_logml_global_max,f1_logml_global_max,r_miss_logml_global_max,n_selected_logml_global_max,precision_logml_global_se,recall_logml_global_se,f1_logml_global_se,r_miss_logml_global_se,n_selected_logml_global_se,status,error
cm1,continuous,500,50,1.0,0,1206264967,0.6,0.6,0.6,1.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,0.75,0.6,0.6666666666666665,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,1,1404794343,0.6666666666666666,0.8,0.7272727272727272,1.0,6.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,1.0,1.0,0.0,5.0,complete,
cm1,continuous,500,50,1.0,2,1606363110,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,3,1330523063,0.75,0.6,0.6666666666666665,1.0,4.0,1.0,0.4,0.5714285714285715,1.0,2.0,0.75,0.6,0.6666666666666665,1.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,1.0,1.0,0.0,5.0,complete,
cm1,continuous,500,50,1.0,4,1656820606,0.6,0.6,0.6,1.0,5.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,5,2281221727,0.6,0.6,0.6,1.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,0.75,0.6,0.6666666666666665,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,6,2519164431,0.6,0.6,0.6,1.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,0.75,0.6,0.6666666666666665,1.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,7,3298617394,0.42857142857142855,0.6,0.5,1.0,7.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,8,1115415367,0.8,0.8,0.8000000000000002,1.0,5.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,9,3991976641,0.8,0.8,0.8000000000000002,1.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,10,2452816229,0.6,0.6,0.6,1.0,5.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,11,4079507586,0.42857142857142855,0.6,0.5,1.0,7.0,1.0,0.4,0.5714285714285715,1.0,2.0,0.6,0.6,0.6,1.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,12,3694849237,0.8,0.8,0.8000000000000002,1.0,5.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,13,1491064735,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,14,3376566032,0.6666666666666666,0.8,0.7272727272727272,1.0,6.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,1.0,1.0,0.0,5.0,complete,
cm1,continuous,500,50,1.0,15,2274728447,0.8,0.8,0.8000000000000002,1.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,16,498029331,0.8,0.8,0.8000000000000002,1.0,5.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,17,3814580947,0.8,0.8,0.8000000000000002,1.0,5.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,18,2015945290,0.75,0.6,0.6666666666666665,1.0,4.0,1.0,0.4,0.5714285714285715,1.0,2.0,0.75,0.6,0.6666666666666665,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,19,964446658,0.8,0.8,0.8000000000000002,1.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,20,3031760446,0.42857142857142855,0.6,0.5,1.0,7.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.6,0.7499999999999999,1.0,3.0,complete,
cm1,continuous,500,50,1.0,21,2334671237,0.8,0.8,0.8000000000000002,1.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,0.8,0.8,0.8000000000000002,1.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,22,3304386181,0.6,0.6,0.6,1.0,5.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,23,993366447,0.6666666666666666,0.8,0.7272727272727272,1.0,6.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,complete,
cm1,continuous,500,50,1.0,24,3734248884,0.8,0.8,0.8000000000000002,1.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,25,836609829,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,1.0,1.0,0.0,5.0,complete,
cm1,continuous,500,50,1.0,26,3970637237,0.75,0.6,0.6666666666666665,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,27,2770861600,0.6,0.6,0.6,1.0,5.0,1.0,0.4,0.5714285714285715,1.0,2.0,0.75,0.6,0.6666666666666665,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,28,1958241689,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cm1,continuous,500,50,1.0,29,2869636548,0.42857142857142855,0.6,0.5,1.0,7.0,1.0,0.4,0.5714285714285715,1.0,2.0,0.75,0.6,0.6666666666666665,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
