n,p,s2,Method,Mean Raw,Mean LogML,Exact Raw,Exact LogML,Under Raw,Under LogML,Over Raw,Over LogML,Mean Excess Raw,Mean Excess LogML
500,50,1.0,Local,6.17,5.96,20%,27%,21%,18%,59%,55%,1.52,1.25
500,50,1.0,Global SE,1.41,2.08,0%,2%,99%,98%,1%,0%,0.01,0.00
500,50,1.0,Global Max,0.12,0.20,0%,0%,100%,100%,0%,0%,0.00,0.00
500,200,1.0,Local,24.42,23.59,0%,0%,0%,0%,100%,100%,19.42,18.59
500,200,1.0,Global SE,6.21,9.05,12%,7%,24%,2%,64%,91%,1.59,4.08
500,200,1.0,Global Max,0.10,0.11,0%,0%,100%,100%,0%,0%,0.00,0.00
1000,50,1.0,Local,6.35,6.01,21%,18%,14%,20%,65%,62%,1.50,1.28
1000,50,1.0,Global SE,1.52,2.12,1%,5%,99%,95%,0%,0%,0.00,0.00
1000,50,1.0,Global Max,0.11,0.19,0%,0%,100%,100%,0%,0%,0.00,0.00
1000,200,1.0,Local,24.08,23.95,0%,0%,0%,0%,100%,100%,19.08,18.95
1000,200,1.0,Global SE,6.08,9.72,19%,3%,27%,0%,54%,97%,1.58,4.72
1000,200,1.0,Global Max,0.10,0.16,0%,0%,100%,100%,0%,0%,0.00,0.00
