n,p,s2,Method,Mean selected Raw,Mean selected LogML,Exact Raw,Exact LogML,Under Raw,Under LogML,Over Raw,Over LogML,Mean excess Raw,Mean excess LogML
500,50,1,Global SE,3.27,4.04,4%,12%,95%,88%,1%,0%,0.01,0.00
500,50,1,Local,5.40,4.25,43%,26%,19%,74%,38%,0%,0.65,0.00
500,50,1,Global Max,2.53,2.68,0%,0%,100%,100%,0%,0%,0.00,0.00
500,50,10,Global SE,3.26,3.93,4%,5%,95%,95%,1%,0%,0.01,0.00
500,50,10,Local,5.61,4.26,30%,27%,19%,73%,51%,0%,0.83,0.00
500,50,10,Global Max,2.27,2.72,0%,0%,100%,100%,0%,0%,0.00,0.00
500,200,1,Global SE,7.61,7.89,11%,7%,7%,3%,82%,90%,2.70,2.92
500,200,1,Local,23.04,12.20,0%,0%,0%,0%,100%,100%,18.04,7.20
500,200,1,Global Max,0.16,3.17,0%,0%,100%,100%,0%,0%,0.00,0.00
500,200,10,Global SE,8.23,8.42,7%,3%,4%,1%,89%,96%,3.29,3.43
500,200,10,Local,23.22,13.12,0%,0%,0%,0%,100%,100%,18.22,8.12
500,200,10,Global Max,0.15,2.99,0%,0%,100%,100%,0%,0%,0.00,0.00
1000,50,1,Global SE,3.32,4.09,4%,16%,96%,84%,0%,0%,0.00,0.00
1000,50,1,Local,4.90,4.40,22%,39%,47%,60%,31%,1%,0.47,0.01
1000,50,1,Global Max,2.95,2.79,0%,0%,100%,100%,0%,0%,0.00,0.00
1000,50,10,Global SE,3.27,4.03,2%,16%,98%,83%,0%,1%,0.00,0.01
1000,50,10,Local,5.07,4.34,39%,35%,30%,64%,31%,1%,0.46,0.01
1000,50,10,Global Max,2.72,2.76,0%,0%,100%,100%,0%,0%,0.00,0.00
1000,200,1,Global SE,8.43,6.89,6%,16%,2%,1%,92%,83%,3.46,1.90
1000,200,1,Local,22.75,10.00,0%,3%,0%,0%,100%,97%,17.75,5.00
1000,200,1,Global Max,0.21,3.24,0%,2%,100%,98%,0%,0%,0.00,0.00
1000,200,10,Global SE,8.08,7.40,8%,8%,5%,2%,87%,90%,3.13,2.42
1000,200,10,Local,22.09,11.04,0%,0%,0%,0%,100%,100%,17.09,6.04
1000,200,10,Global Max,0.10,3.13,0%,2%,100%,98%,0%,0%,0.00,0.00
