n,p,s2,Method,Mean Raw,Mean LogML,Exact Raw,Exact LogML,Under Raw,Under LogML,Over Raw,Over LogML,Mean Excess Raw,Mean Excess LogML
500,50,1.0,Local,9.43,5.56,5%,26%,1%,52%,94%,22%,3.45,0.30
500,50,1.0,Global SE,4.27,4.43,10%,11%,88%,89%,2%,0%,0.03,0.00
500,50,1.0,Global Max,0.99,2.09,0%,0%,100%,100%,0%,0%,0.00,0.00
500,50,10.0,Local,10.19,8.14,1%,11%,1%,7%,98%,82%,4.20,2.24
500,50,10.0,Global SE,3.62,5.08,6%,18%,91%,68%,3%,14%,0.04,0.25
500,50,10.0,Global Max,0.28,1.29,0%,0%,100%,100%,0%,0%,0.00,0.00
1000,50,1.0,Local,8.90,5.15,10%,24%,4%,74%,86%,2%,2.94,0.02
1000,50,1.0,Global SE,4.23,4.55,9%,4%,87%,96%,4%,0%,0.06,0.00
1000,50,1.0,Global Max,1.26,2.19,0%,0%,100%,100%,0%,0%,0.00,0.00
1000,50,10.0,Local,9.56,6.41,2%,26%,2%,30%,96%,44%,3.58,0.83
1000,50,10.0,Global SE,3.67,4.55,5%,12%,94%,82%,1%,6%,0.03,0.06
1000,50,10.0,Global Max,0.51,1.72,0%,0%,100%,100%,0%,0%,0.00,0.00
