scenario,model_key,n,p,s2,repeat,seed,config_id,varied_parameter,m,alpha,beta,k,precision_raw_local,recall_raw_local,f1_raw_local,r_miss_raw_local,n_selected_raw_local,precision_raw_global_max,recall_raw_global_max,f1_raw_global_max,r_miss_raw_global_max,n_selected_raw_global_max,precision_raw_global_se,recall_raw_global_se,f1_raw_global_se,r_miss_raw_global_se,n_selected_raw_global_se,precision_logml_local,recall_logml_local,f1_logml_local,r_miss_logml_local,n_selected_logml_local,precision_logml_global_max,recall_logml_global_max,f1_logml_global_max,r_miss_logml_global_max,n_selected_logml_global_max,precision_logml_global_se,recall_logml_global_se,f1_logml_global_se,r_miss_logml_global_se,n_selected_logml_global_se,true_variables,selected_raw_local,selected_raw_global_max,selected_raw_global_se,selected_logml_local,selected_logml_global_max,selected_logml_global_se,status,error
bm1,binary,1000,50,1.0,0,2279008607,reference,reference,20,0.95,2.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.2222222222222222,0.4,0.2857142857142857,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2,0.28571428571428575,1.0,2.0,"[0, 1, 25, 26, 27]","[2, 5, 6, 10]",[],"[2, 6]","[1, 2, 5, 10, 21, 24, 26, 35, 48]",[],"[1, 5]",complete,
bm1,binary,1000,50,1.0,0,2279008607,m_low,m,10,0.95,2.0,2.0,0.3333333333333333,0.4,0.3636363636363636,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2,0.28571428571428575,1.0,2.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"[0, 1, 25, 26, 27]","[6, 15, 25, 27, 32, 41]",[],"[25, 32]","[4, 5, 25, 32, 34]",[],[],complete,
bm1,binary,1000,50,1.0,0,2279008607,m_high,m,50,0.95,2.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.2,0.22222222222222224,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.33333333333333337,1.0,1.0,"[0, 1, 25, 26, 27]","[3, 10, 15, 32, 49]",[],[],"[3, 11, 25, 32]",[],[25],complete,
bm1,binary,1000,50,1.0,0,2279008607,beta_low,beta,20,0.95,1.0,2.0,0.3333333333333333,0.4,0.3636363636363636,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,"[0, 1, 25, 26, 27]","[26, 27, 29, 30, 33, 43]",[],[29],"[3, 8, 30, 40, 45]",[3],"[3, 30]",complete,
bm1,binary,1000,50,1.0,0,2279008607,beta_high,beta,20,0.95,3.0,2.0,0.25,0.2,0.22222222222222224,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.4000000000000001,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.5,0.4,0.4444444444444445,1.0,4.0,"[0, 1, 25, 26, 27]","[0, 6, 13, 22]",[],[],"[0, 6, 9, 13, 26]",[],"[0, 6, 13, 26]",complete,
bm1,binary,1000,50,1.0,0,2279008607,k_low,k,20,0.95,2.0,1.0,0.16666666666666666,0.2,0.1818181818181818,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2,0.28571428571428575,1.0,2.0,0.14285714285714285,0.2,0.16666666666666666,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,"[0, 1, 25, 26, 27]","[8, 14, 27, 33, 35, 38]",[],"[8, 27]","[16, 22, 27, 32, 34, 38, 46]",[],[22],complete,
bm1,binary,1000,50,1.0,0,2279008607,k_high,k,20,0.95,2.0,3.0,0.16666666666666666,0.2,0.1818181818181818,1.0,6.0,0.0,0.0,0.0,1.0,2.0,0.25,0.2,0.22222222222222224,1.0,4.0,0.16666666666666666,0.2,0.1818181818181818,1.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,"[0, 1, 25, 26, 27]","[5, 11, 26, 34, 39, 41]","[5, 41]","[5, 11, 26, 41]","[3, 5, 12, 26, 39, 41]","[5, 41]","[5, 41]",complete,
bm1,binary,1000,50,1.0,1,2062861864,reference,reference,20,0.95,2.0,2.0,0.16666666666666666,0.2,0.1818181818181818,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2,0.28571428571428575,1.0,2.0,0.2,0.4,0.26666666666666666,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.20000000000000004,1.0,5.0,"[0, 1, 25, 26, 27]","[0, 6, 14, 20, 40, 42]",[],"[0, 14]","[0, 3, 8, 9, 12, 20, 21, 27, 37, 49]",[],"[0, 3, 8, 9, 37]",complete,
bm1,binary,1000,50,1.0,1,2062861864,m_low,m,10,0.95,2.0,2.0,0.25,0.2,0.22222222222222224,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.4,0.3076923076923077,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,"[0, 1, 25, 26, 27]","[18, 24, 26, 32]",[],[18],"[0, 18, 19, 26, 29, 32, 41, 48]",[],"[19, 32]",complete,
bm1,binary,1000,50,1.0,1,2062861864,m_high,m,50,0.95,2.0,2.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1111111111111111,0.2,0.14285714285714285,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,"[0, 1, 25, 26, 27]","[17, 26, 28, 38, 47]",[],[38],"[11, 16, 17, 24, 26, 29, 38, 45, 47]",[],"[11, 47]",complete,
