scenario,model_key,n,p,s2,repeat,seed,config_id,varied_parameter,m,alpha,beta,k,precision_raw_local,recall_raw_local,f1_raw_local,r_miss_raw_local,n_selected_raw_local,precision_raw_global_max,recall_raw_global_max,f1_raw_global_max,r_miss_raw_global_max,n_selected_raw_global_max,precision_raw_global_se,recall_raw_global_se,f1_raw_global_se,r_miss_raw_global_se,n_selected_raw_global_se,precision_logml_local,recall_logml_local,f1_logml_local,r_miss_logml_local,n_selected_logml_local,precision_logml_global_max,recall_logml_global_max,f1_logml_global_max,r_miss_logml_global_max,n_selected_logml_global_max,precision_logml_global_se,recall_logml_global_se,f1_logml_global_se,r_miss_logml_global_se,n_selected_logml_global_se,status,error
cm2,continuous,500,50,10.0,0,1634325578,reference,reference,20,0.95,2.0,2.0,0.6,0.5,0.5454545454545454,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.6666666666666666,1.0,3.0,0.7142857142857143,0.8333333333333334,0.7692307692307692,1.0,7.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,6.0,complete,
cm2,continuous,500,50,10.0,0,1634325578,m_low,m,10,0.95,2.0,2.0,0.3,0.5,0.37499999999999994,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,6.0,0.5,0.8333333333333334,0.625,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.7142857142857143,0.8333333333333334,0.7692307692307692,1.0,7.0,complete,
cm2,continuous,500,50,10.0,0,1634325578,m_high,m,50,0.95,2.0,2.0,0.23076923076923078,0.5,0.3157894736842105,1.0,13.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.75,0.5,0.6,1.0,4.0,0.625,0.8333333333333334,0.7142857142857143,1.0,8.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,6.0,complete,
cm2,continuous,500,50,10.0,0,1634325578,beta_low,beta,20,0.95,1.0,2.0,0.375,0.5,0.42857142857142855,1.0,8.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.5,0.3333333333333333,0.4,1.0,4.0,0.625,0.8333333333333334,0.7142857142857143,1.0,8.0,1.0,0.3333333333333333,0.5,1.0,2.0,1.0,0.6666666666666666,0.8,1.0,4.0,complete,
cm2,continuous,500,50,10.0,0,1634325578,beta_high,beta,20,0.95,3.0,2.0,0.3076923076923077,0.6666666666666666,0.42105263157894735,1.0,13.0,0.0,0.0,0.0,1.0,0.0,0.42857142857142855,0.5,0.4615384615384615,1.0,7.0,0.625,0.8333333333333334,0.7142857142857143,1.0,8.0,1.0,0.5,0.6666666666666666,1.0,3.0,0.7142857142857143,0.8333333333333334,0.7692307692307692,1.0,7.0,complete,
cm2,continuous,500,50,10.0,0,1634325578,k_low,k,20,0.95,2.0,1.0,0.375,0.5,0.42857142857142855,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,1.0,6.0,0.625,0.8333333333333334,0.7142857142857143,1.0,8.0,1.0,0.5,0.6666666666666666,1.0,3.0,0.8,0.6666666666666666,0.7272727272727272,1.0,5.0,complete,
cm2,continuous,500,50,10.0,0,1634325578,k_high,k,20,0.95,2.0,3.0,0.25,0.5,0.3333333333333333,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.375,0.5,0.42857142857142855,1.0,8.0,0.625,0.8333333333333334,0.7142857142857143,1.0,8.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,6.0,complete,
cm2,continuous,500,50,10.0,1,2178576497,reference,reference,20,0.95,2.0,2.0,0.15384615384615385,0.3333333333333333,0.21052631578947367,1.0,13.0,0.0,0.0,0.0,1.0,0.0,0.4,0.3333333333333333,0.3636363636363636,1.0,5.0,0.42857142857142855,0.5,0.4615384615384615,1.0,7.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.75,0.5,0.6,1.0,4.0,complete,
cm2,continuous,500,50,10.0,1,2178576497,m_low,m,10,0.95,2.0,2.0,0.2222222222222222,0.3333333333333333,0.26666666666666666,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,3.0,0.3,0.5,0.37499999999999994,1.0,10.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.42857142857142855,0.5,0.4615384615384615,1.0,7.0,complete,
cm2,continuous,500,50,10.0,1,2178576497,m_high,m,50,0.95,2.0,2.0,0.2,0.5,0.28571428571428575,1.0,15.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,3.0,0.42857142857142855,0.5,0.4615384615384615,1.0,7.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.75,0.5,0.6,1.0,4.0,complete,
