scenario,model_key,n,p,s2,repeat,seed,config_id,varied_parameter,m,alpha,beta,k,precision_raw_local,recall_raw_local,f1_raw_local,r_miss_raw_local,n_selected_raw_local,precision_raw_global_max,recall_raw_global_max,f1_raw_global_max,r_miss_raw_global_max,n_selected_raw_global_max,precision_raw_global_se,recall_raw_global_se,f1_raw_global_se,r_miss_raw_global_se,n_selected_raw_global_se,precision_logml_local,recall_logml_local,f1_logml_local,r_miss_logml_local,n_selected_logml_local,precision_logml_global_max,recall_logml_global_max,f1_logml_global_max,r_miss_logml_global_max,n_selected_logml_global_max,precision_logml_global_se,recall_logml_global_se,f1_logml_global_se,r_miss_logml_global_se,n_selected_logml_global_se,true_variables,selected_raw_local,selected_raw_global_max,selected_raw_global_se,selected_logml_local,selected_logml_global_max,selected_logml_global_se,status,error
cm2,continuous,500,50,10.0,0,1634325578,reference,reference,20,0.95,2.0,2.0,0.6,0.5,0.5454545454545454,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.6666666666666666,1.0,3.0,0.7142857142857143,0.8333333333333334,0.7692307692307692,1.0,7.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,6.0,"[0, 20, 40, 41, 42, 43]","[2, 13, 41, 42, 43]",[],"[41, 42, 43]","[0, 20, 23, 41, 42, 43, 83]",[42],"[0, 20, 41, 42, 43, 83]",complete,
cm2,continuous,500,50,10.0,0,1634325578,m_low,m,10,0.95,2.0,2.0,0.3,0.5,0.37499999999999994,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,6.0,0.5,0.8333333333333334,0.625,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.7142857142857143,0.8333333333333334,0.7692307692307692,1.0,7.0,"[0, 20, 40, 41, 42, 43]","[3, 36, 38, 41, 42, 43, 44, 73, 81, 83]",[],"[3, 36, 38, 41, 43, 83]","[0, 14, 20, 23, 41, 42, 43, 44, 81, 83]",[],"[0, 20, 23, 41, 42, 43, 83]",complete,
cm2,continuous,500,50,10.0,0,1634325578,m_high,m,50,0.95,2.0,2.0,0.23076923076923078,0.5,0.3157894736842105,1.0,13.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.75,0.5,0.6,1.0,4.0,0.625,0.8333333333333334,0.7142857142857143,1.0,8.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,6.0,"[0, 20, 40, 41, 42, 43]","[4, 6, 7, 10, 15, 21, 24, 32, 41, 42, 43, 64, 75]",[42],"[41, 42, 43, 75]","[0, 20, 21, 41, 42, 43, 64, 83]","[41, 42]","[0, 41, 42, 43, 64, 83]",complete,
cm2,continuous,500,50,10.0,0,1634325578,beta_low,beta,20,0.95,1.0,2.0,0.375,0.5,0.42857142857142855,1.0,8.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.5,0.3333333333333333,0.4,1.0,4.0,0.625,0.8333333333333334,0.7142857142857143,1.0,8.0,1.0,0.3333333333333333,0.5,1.0,2.0,1.0,0.6666666666666666,0.8,1.0,4.0,"[0, 20, 40, 41, 42, 43]","[9, 25, 31, 41, 42, 43, 44, 80]",[42],"[9, 31, 42, 43]","[0, 14, 20, 31, 41, 42, 43, 64]","[42, 43]","[0, 41, 42, 43]",complete,
cm2,continuous,500,50,10.0,0,1634325578,beta_high,beta,20,0.95,3.0,2.0,0.3076923076923077,0.6666666666666666,0.42105263157894735,1.0,13.0,0.0,0.0,0.0,1.0,0.0,0.42857142857142855,0.5,0.4615384615384615,1.0,7.0,0.625,0.8333333333333334,0.7142857142857143,1.0,8.0,1.0,0.5,0.6666666666666666,1.0,3.0,0.7142857142857143,0.8333333333333334,0.7692307692307692,1.0,7.0,"[0, 20, 40, 41, 42, 43]","[10, 17, 27, 40, 41, 42, 43, 44, 53, 61, 64, 75, 83]",[],"[10, 27, 41, 42, 43, 53, 83]","[0, 20, 23, 41, 42, 43, 64, 83]","[41, 42, 43]","[0, 20, 41, 42, 43, 64, 83]",complete,
cm2,continuous,500,50,10.0,0,1634325578,k_low,k,20,0.95,2.0,1.0,0.375,0.5,0.42857142857142855,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,1.0,6.0,0.625,0.8333333333333334,0.7142857142857143,1.0,8.0,1.0,0.5,0.6666666666666666,1.0,3.0,0.8,0.6666666666666666,0.7272727272727272,1.0,5.0,"[0, 20, 40, 41, 42, 43]","[2, 5, 7, 33, 41, 42, 43, 83]",[],"[5, 7, 41, 42, 43, 83]","[0, 7, 20, 26, 41, 42, 43, 83]","[0, 41, 42]","[0, 41, 42, 43, 83]",complete,
cm2,continuous,500,50,10.0,0,1634325578,k_high,k,20,0.95,2.0,3.0,0.25,0.5,0.3333333333333333,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.375,0.5,0.42857142857142855,1.0,8.0,0.625,0.8333333333333334,0.7142857142857143,1.0,8.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,6.0,"[0, 20, 40, 41, 42, 43]","[3, 4, 17, 22, 26, 27, 28, 41, 42, 43, 73, 75]",[],"[3, 4, 17, 22, 41, 42, 43, 75]","[0, 4, 20, 41, 42, 43, 75, 83]",[42],"[0, 4, 41, 42, 43, 83]",complete,
cm2,continuous,500,50,10.0,1,2178576497,reference,reference,20,0.95,2.0,2.0,0.15384615384615385,0.3333333333333333,0.21052631578947367,1.0,13.0,0.0,0.0,0.0,1.0,0.0,0.4,0.3333333333333333,0.3636363636363636,1.0,5.0,0.42857142857142855,0.5,0.4615384615384615,1.0,7.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.75,0.5,0.6,1.0,4.0,"[0, 20, 40, 41, 42, 43]","[8, 19, 21, 23, 27, 31, 33, 39, 42, 43, 68, 72, 76]",[],"[19, 33, 42, 43, 72]","[2, 8, 20, 42, 43, 68, 76]","[42, 43]","[20, 42, 43, 68]",complete,
cm2,continuous,500,50,10.0,1,2178576497,m_low,m,10,0.95,2.0,2.0,0.2222222222222222,0.3333333333333333,0.26666666666666666,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,3.0,0.3,0.5,0.37499999999999994,1.0,10.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.42857142857142855,0.5,0.4615384615384615,1.0,7.0,"[0, 20, 40, 41, 42, 43]","[13, 18, 28, 33, 42, 43, 53, 68, 80]",[],"[42, 43, 68]","[2, 3, 20, 36, 42, 43, 46, 54, 68, 76]","[42, 43]","[3, 20, 36, 42, 43, 46, 68]",complete,
cm2,continuous,500,50,10.0,1,2178576497,m_high,m,50,0.95,2.0,2.0,0.2,0.5,0.28571428571428575,1.0,15.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,3.0,0.42857142857142855,0.5,0.4615384615384615,1.0,7.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.75,0.5,0.6,1.0,4.0,"[0, 20, 40, 41, 42, 43]","[0, 11, 12, 13, 14, 17, 21, 22, 35, 38, 42, 43, 71, 79, 83]","[42, 43]","[42, 43, 83]","[3, 20, 22, 38, 42, 43, 79]","[42, 43]","[20, 22, 42, 43]",complete,
